SSP,rho,beta,cost_percentile,gamma
SSP1,0.65,2.0,p16,5729.668281710644
SSP1,0.65,2.0,p50,10079.850382587585
SSP1,0.65,2.0,p84,19797.52395607818
SSP1,0.65,3.0,p16,9113.6087911552
SSP1,0.65,3.0,p50,16192.193650351765
SSP1,0.65,3.0,p84,32086.858783015454
SSP1,0.82,2.0,p16,1876.2255170817575
SSP1,0.82,2.0,p50,3313.442468917318
SSP1,0.82,2.0,p84,6485.349192109414
SSP1,0.82,3.0,p16,2863.23602739977
SSP1,0.82,3.0,p50,5143.628580047085
SSP1,0.82,3.0,p84,10245.094511645237
SSP1,0.95,2.0,p16,872.1049872941193
SSP1,0.95,2.0,p50,1545.9716931090913
SSP1,0.95,2.0,p84,3023.3354342166513
SSP1,0.95,3.0,p16,1383.4865102306474
SSP1,0.95,3.0,p50,2467.4818186300963
SSP1,0.95,3.0,p84,4831.303970597244
SSP2,0.65,2.0,p16,5963.592312236013
SSP2,0.65,2.0,p50,10575.697017547467
SSP2,0.65,2.0,p84,20567.06361064791
SSP2,0.65,3.0,p16,10337.456606596144
SSP2,0.65,3.0,p50,18399.561779666165
SSP2,0.65,3.0,p84,36182.45077388532
SSP2,0.82,2.0,p16,1766.6492198466804
SSP2,0.82,2.0,p50,3130.4549426565195
SSP2,0.82,2.0,p84,6098.081051835548
SSP2,0.82,3.0,p16,2938.1263749570167
SSP2,0.82,3.0,p50,5248.572569247291
SSP2,0.82,3.0,p84,10371.158938483231
SSP2,0.95,2.0,p16,807.586926711279
SSP2,0.95,2.0,p50,1430.3755318611265
SSP2,0.95,2.0,p84,2785.75300109678
SSP2,0.95,3.0,p16,1318.687000452369
SSP2,0.95,3.0,p50,2358.10933891556
SSP2,0.95,3.0,p84,4651.144801230865
SSP3,0.65,2.0,p16,5240.233692475043
SSP3,0.65,2.0,p50,9232.540349961177
SSP3,0.65,2.0,p84,17795.270726156916
SSP3,0.65,3.0,p16,9180.354420210415
SSP3,0.65,3.0,p50,16295.902601949043
SSP3,0.65,3.0,p84,31259.784663682552
SSP3,0.82,2.0,p16,1518.5690059167803
SSP3,0.82,2.0,p50,2676.041677021863
SSP3,0.82,2.0,p84,5134.517477879735
SSP3,0.82,3.0,p16,2583.6550568024327
SSP3,0.82,3.0,p50,4582.173380538962
SSP3,0.82,3.0,p84,8734.345674652799
SSP3,0.95,2.0,p16,683.1123396438308
SSP3,0.95,2.0,p50,1204.0503523343834
SSP3,0.95,2.0,p84,2302.6334073278686
SSP3,0.95,3.0,p16,1144.3825079707597
SSP3,0.95,3.0,p50,2029.5212510154734
SSP3,0.95,3.0,p84,3849.084867436113
SSP4,0.65,2.0,p16,5600.859829610514
SSP4,0.65,2.0,p50,9946.100647736563
SSP4,0.65,2.0,p84,19280.18810127686
SSP4,0.65,3.0,p16,9543.022065063513
SSP4,0.65,3.0,p50,16976.110989687633
SSP4,0.65,3.0,p84,33247.692430026815
SSP4,0.82,2.0,p16,1744.2620640420405
SSP4,0.82,2.0,p50,3081.84016233693
SSP4,0.82,2.0,p84,5993.552709671013
SSP4,0.82,3.0,p16,2868.1153336691286
SSP4,0.82,3.0,p50,5126.330534310613
SSP4,0.82,3.0,p84,9977.448671688764
SSP4,0.95,2.0,p16,820.8227965185896
SSP4,0.95,2.0,p50,1451.479112220752
SSP4,0.95,2.0,p84,2818.4608917973724
SSP4,0.95,3.0,p16,1303.1673719392586
SSP4,0.95,3.0,p50,2332.7251265382756
SSP4,0.95,3.0,p84,4543.054502693986
SSP5,0.65,2.0,p16,7118.997108377645
SSP5,0.65,2.0,p50,12575.357280944547
SSP5,0.65,2.0,p84,24500.231045605924
SSP5,0.65,3.0,p16,12140.390666120911
SSP5,0.65,3.0,p50,21689.536688280954
SSP5,0.65,3.0,p84,42242.47840668916
SSP5,0.82,2.0,p16,1872.9017640820543
SSP5,0.82,2.0,p50,3317.6921310352914
SSP5,0.82,2.0,p84,6457.290251965014
SSP5,0.82,3.0,p16,3150.059466997525
SSP5,0.82,3.0,p50,5624.5640281973165
SSP5,0.82,3.0,p84,11029.470246205665
SSP5,0.95,2.0,p16,791.5838584525056
SSP5,0.95,2.0,p50,1402.8876874315547
SSP5,0.95,2.0,p84,2727.9093113988483
SSP5,0.95,3.0,p16,1306.5881326403576
SSP5,0.95,3.0,p50,2327.7858215012816
SSP5,0.95,3.0,p84,4560.416025614013
